OBJECTID,CATEGORY,NAME,ADDRESS,CITY,ZIPCODE,PHONE,URL,DATA,POINT_X,POINT_Y,LATITUDE,LONGITUDE
1,FIRE STATION,Station 21 - Kensington,12500 Viers Mill Rd,Rockville,20853,240-773-4721,http://www.montgomerycountymd.gov/mcfrs/,21,1286034.125,507953.4063,39.06138341,-77.09261975
2,FIRE STATION,Station 23 - Rockville,121 Rollins Ave,Rockville,20852,240-773-4723,http://www.montgomerycountymd.gov/mcfrs/,23,1277424,507094.25,39.05899655,-77.12293851
3,FIRE STATION,Station 18 - Kensington,12210 Georgia Ave,Wheaton,20902,240-773-4718,http://www.montgomerycountymd.gov/mcfrs/,18,1297946.772,506204.0021,39.05660581,-77.05066276
4,FIRE STATION,Station  5 - Kensington,10620 Connecticut Ave,Kensington,20895,240-773-4705,http://www.montgomerycountymd.gov/mcfrs/,5,1290685.625,496523.5938,39.03001271,-77.07620465
5,FIRE STATION,Station 12 - Hillandale,10617 New Hampshire Ave,Silver Spring,20903,240-773-4712,http://www.montgomerycountymd.gov/mcfrs/,12,1317084.375,496583.625,39.03020115,-76.98327529
6,FIRE STATION,Station 16 - Silver Spring,111 E University Blvd,Silver Spring,20901,240-773-4716,http://www.montgomerycountymd.gov/mcfrs/,16,1310309.5,491902.8749,39.01735026,-77.00712309
7,FIRE STATION,Station 30 - Cabin John,"9404 Falls Road
",Potomac,20854,240-773-4730,http://www.montgomerycountymd.gov/mcfrs/,30,1249776.75,489356.7814,39.01015258,-77.22015153
8,FIRE STATION,Station 19 - Silver Spring,1945 Seminary Rd,Silver Spring,20910,240-773-4719,http://www.montgomerycountymd.gov/mcfrs/,19,1300351.125,488887.6875,39.0090641,-77.04216759
9,FIRE STATION,Station 22 - Germantown/Kingsview,18910 Germantown Rd,Germantown,20874,240-773-4722,http://www.montgomerycountymd.gov/mcfrs/,22,1231848.975,544637.5614,39.16179761,-77.28384819
10,FIRE STATION,Station  2 - Takoma Park,7201 Carroll Ave,Takoma Park,20912,240-773-4702,http://www.montgomerycountymd.gov/mcfrs/,2,1310311.25,477424.7813,38.97759774,-77.00711296
11,FIRE STATION,Station 26 - Bethesda,6700 Democracy Blvd,Bethesda,20817,240-773-4726,http://www.montgomerycountymd.gov/mcfrs/,26,1273227.11,493292.1501,39.02108405,-77.13764518
12,FIRE STATION,Station  6 - Bethesda,6600 Wisconsin Ave,Bethesda,20815,240-773-4706,http://www.montgomerycountymd.gov/mcfrs/,6,1286425.75,477134.1251,38.9767644,-77.09113219
13,FIRE STATION,Station R1 - Bethesda / Chevy Chase Rescue,5020 Battery La,Bethesda,20814,240-773-4741,http://www.montgomerycountymd.gov/mcfrs/,R1,1283093.5,482140.0625,38.99049951,-77.1028735
14,FIRE STATION,Station 20 - Bethesda,9041 Old Georgetown Rd,Bethesda,20814,240-773-4720,http://www.montgomerycountymd.gov/mcfrs/,20,1281048.5,487098.0939,39.00410623,-77.11008938
15,FIRE STATION,Station 33 - Rockville,11430 Falls Rd,Potomac,20854,240-773-4733,http://www.montgomerycountymd.gov/mcfrs/,33,1257320.375,501594.5626,39.04380052,-77.19369519
16,FIRE STATION,Station 11 - Glen Echo,5920 Massachusetts Ave,Bethesda,20816,240-773-4711,http://www.montgomerycountymd.gov/mcfrs/,11,1277962.625,472096.875,38.96290656,-77.12087847
17,FIRE STATION,Station  7 - Chevy Chase,8001 Connecticut Ave,Chevy Chase,20815,240-773-4707,http://www.montgomerycountymd.gov/mcfrs/,7,1290540.875,482205.1561,38.99069835,-77.07667187
18,FIRE STATION,Station 15 - Burtonsville,13900 Old Columbia Pike,Burtonsville,20866,240-773-4715,http://www.montgomerycountymd.gov/mcfrs/,15,1326120.75,516579.2188,39.08509348,-76.95142777
